CALENDAR YEAR,MONTH,VENDOR NAME,CATEGORY,ITEM ,ITEM DESCRIPTION,QUANTITY,TRANSACTION SOURCE TYPE
2023,December,MONSIEUR TOUTON SELECTION,WINE,43375,LAN RIOJA GRAN RES - 750ML,2,Purchase order
2023,December,THE OTHER SIDE LLC,KEG,17646,PARIAH PINE BY YAKIMA 1/6 KEG,1,Purchase order
2023,December,SIERRA NEVADA BREWING CO,BEER,66979,SIERRA NEVADA TRAIL PASS IPA NA 4/6 CN,250,Purchase order
2023,December,MCCLINTOCK DISTILLING LLC,LIQUOR,377897,MCCLINTOCK GINGER LIME CORDIAL - 375ML,4,Purchase order
2023,December,SALVETO IMPORTS LLC,WINE,339840,KARANIKA BRUT ROSE PDO AMYNTAIO - 750ML,1,Purchase order
2023,December,OPICI FAMILY DISTRIBUTING OF MD,WINE,302901,WINE BY JOE PINOT GRIS - 750ML,2,Purchase order
2023,December,CROWN IMPORTS,BEER,56436,MODELO ESPECIAL 16OZ CAN -4PK,112,Purchase order
2023,December,BOSTON BEER CORPORATION,BEER,66554,TRULY MARGARITA VP 12PK CAN,312,Purchase order
2023,December,E & J GALLO WINERY,WINE,80152,TAYLOR PORT - 3L,96,Purchase order
2023,December,DMV DISTRIBUTING LLC,WINE,243748,GUARDA RIOS RED BLEND - 750ML,2,Purchase order
2023,December,FOU-DRE LLC,LIQUOR,14578,TCAPRI TEQUILA BLANCO 750ML,1,Purchase order
2023,December,HEAVEN HILL DISTILLERIES INC,LIQUOR,33880,ADMIRAL NELSON RUM - SPICED - 1.75L,30,Purchase order
2023,December,BARON FRANCOIS LTD,WINE,166608,CH LECONTE MARQUEY SAINT EMILION - 750ML,1,Purchase order
2023,December,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,373096,PAUL HOBBS COOMBSVILLE CAB - 750ML,2,Purchase order
2023,December,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,337667,EL ENEMIGO MALB - 750ML,3,Purchase order
2023,December,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,436950,TARIMA MONESTRALL - 750ML,15,Purchase order
2023,December,HEAVEN HILL DISTILLERIES INC,LIQUOR,72173,DEEP EDDY VODKA - LIME - 750ML,26,Purchase order
2023,December,BOLD ROCK PARTNERS LP,BEER,18797,BOLD ROCK IMPERIAL APPLE 4/6 NR,5,Purchase order
2023,December,BANVILLE & JONES WINE MERCHANTS,LIQUOR,239316,PIUCINQUE GIN - 750ML,3,Purchase order
2023,December,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,322810,SHO CHUKU BAI MIO SPARK SAKE - 300ML,7,Purchase order
2023,December,ELITE WINES IMPORTS,WINE,394009,THOMAS HENRY ZIN - 750ML,1,Purchase order
2023,December,MILLER BREWING COMPANY,BEER,23416,MILWAUKEE BEST ICE CANS - 24OZ,490,Purchase order
2023,December,PERNOD RICARD USA LLC,LIQUOR,69108,RICARD ANISE - 750ML,6,Purchase order
2023,December,MONSIEUR TOUTON SELECTION,WINE,247122,JEAN DE VALMER VOUVRAY SPARK - 750ML,9,Purchase order
2023,December,BACKUP BEVERAGE,BEER,69959,VASEN RADAPILS 6/4 16OZ CANS,1,Purchase order
2023,December,BROWN-FORMAN BEVERAGES WORLDWIDE,LIQUOR,73934,OLD FORESTER STATESMAN BOURBON - 750ML,20,Purchase order
2023,December,ROYAL WINE CORP,WINE,301959,BARKAN CLASSIC MER ARGAMAN - 750ML,2,Purchase order
2023,December,REPUBLIC NATIONAL DISTRIBUTING CO,WINE,63045,CH GREYSAC MEDOC EDV - 750ML,26,Purchase order
2023,December,SOUTHERN GLAZERS WINE AND SPIRITS,WINE,378524,FEDERALIST P/NOIR - 750ML,1,Purchase order
2023,December,ELITE WINES IMPORTS,WINE,239114,MIGUEL TORRES RESA LAS MULAS CAB ORG - 750ML,1,Purchase order
2023,December,VIGNOBLES LVDH USA INC,WINE,186031,CASTLE ROCK C/C CHARD - 750ML,15,Purchase order
2023,December,RM2 CONSULTING INC,WINE,170047,90+ CELLARS LOT 188 MONTEPULCIANO DOC 750 ML,8,Purchase order
2023,December,GRAPES OF SPAIN INC,WINE,317001,BOVALE - 750ML,1,Purchase order
2023,December,KYSELA PERE ET FILS LTD,WINE,243809,OCTOPODA RRV P/NOIR - 750ML,2,Purchase order
2023,December,JACKSON FAMILY ENTERPRISES INC,WINE,243232,CARMEL ROAD CABERNET - 750ML,42,Purchase order
2023,December,OPICI FAMILY DISTRIBUTING OF MD,WINE,345356,ANGELINE ROSE - 750ML,3,Purchase order
2023,December,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,130478,CORNARO VENETO P/GRIG - 750ML,7,Purchase order
2023,December,"THE COUNTRY VINTNER, LLC DBA WINEBOW",WINE,170272,CHAPPELLET NAPA CAB - 750ML,1,Purchase order
2023,December,ELITE WINES IMPORTS,WINE,377226,DAWN CHORUS SAUV BLANC HAWKE'S BAY - 750ML,7,Purchase order
2023,December,DIAGEO NORTH AMERICA INC,LIQUOR,55611,DON JULIO TEQUILA - BLANCO - 375ML,30,Purchase order
2023,December,NEXTERRA WINE COMPANY,WINE,17203,COOPER'S HAWK 23' 10 ANNIVERSARY MAGNUM 1.5L,42,Purchase order
2023,December,DIAGEO NORTH AMERICA INC,BEER,51042,SMIRNOFF SOURCED PINEAPPLE 4/6PK NR 11.2OZ,144,Purchase order
2023,December,PERNOD RICARD USA LLC,LIQUOR,74460,JAMESON BLACK BARREL RES 6/1L,1,Purchase order
2023,December,REPUBLIC NATIONAL DISTRIBUTING CO,LIQUOR,88252,ABSOLUT VODKA - WILD BERRI - 750ML,2,Purchase order
2023,December,DC BRAU BREWING LLC,BEER,69364,DC BRAU IN SESSION IPA 4/6 CANS,20,Purchase order
2023,December,CHESAPEAKE DISTRIBUTING LLC,BEER,29554,EINBECKER NON ALCOHOLIC 4/6NR,1,Purchase order
2023,December,KOBRAND CORPORATION,WINE,43684,CAPOSALDO P/GRIG - 750ML,1,Purchase order
2023,December,LAPHAM IMPORT COMPANY,WINE,310212,GEKKEIKAN HORIN JUNMAI DAIGINJO - 720ML,1,Purchase order
2023,December,SOUTHERN GLAZERS WINE AND SPIRITS,LIQUOR,377165,CLASE AZUL TEQUILA - GOLD - 750ML,6,Purchase order
2023,December,PWSWN INC,WINE,342548,CHATEAU RAUZAN-GASSIES - 750ML,1,Purchase order
2023,December,INTERCONTINENTAL PACKAGING COMPANY,LIQUOR,70188,RICURA HORCHATA - 750ML,14,Purchase order
2023,December,THE WINE GROUP,WINE,80080,G & D MARSALA - 750ML,10,Purchase order
2023,December,PARALLEL WORLD BREWING COMPANY,BEER,19169,SILVER BRANCH COSMIC SERIES 4/6 CANS,37,Purchase order
2023,December,DIAGEO NORTH AMERICA INC,BEER,96067,GUINNESS STOUT 4/6 NR - 11.2OZ,2856,Purchase order
2023,December,CONSTANTINE WINES INC,WINE,348922,CALCU CABERNET FRANC - 750ML,1,Purchase order
2023,December,PUNTO VINO LLC,WINE,379511,NETZL HAIDECKER ZWEIGELT - 750ML,3,Purchase order
